dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,10,24000.0,96000.0,1.12,0.07912746103083801,0.07957747154594767,-0.00045001051510966394,0.00018631010580003624,3.47114555232207e-07,7.115573216590065e-05,powerlaw_gridsearch,4,True,False,False,0.0,0.0003843572065547335,0.00024204574222293218,0.0001423114643318013,0.00016717360173962303,False,,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0798361390933;0.0796410545949;0.0796813714286;0.0796193128177;0.0789088523739;0.0794527870393;0.0793565380463;0.0795025994055;0.0793354258037;0.0791931143394
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,10,24000.0,96000.0,1.12,0.9971702115352907,1.0,-0.002829788464709271,0.0011730791998538722,1.3761148091298011e-05,0.0004479671208192926,powerlaw_gridsearch,4,True,False,False,0.0,0.0024179106990074306,0.0015219764573688455,0.0008959342416385851,0.0010514302174851053,False,,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,1.00162393755;1.00039942431;1.00065260927;1.00026286192;0.995790080129;0.999216277029;0.998610869039;0.99952945376;0.998478023543;0.997582089301
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,10,24000.0,96000.0,1.12,0.9971702115352907,1.0,-0.002829788464709271,0.0011730791998538794,1.3761148091298179e-05,0.0004479671208192926,powerlaw_gridsearch,4,True,False,False,0.0,0.0024179106990074306,0.0015219764573688455,0.0008959342416385851,0.0010514302174852164,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,1.00162393755;1.00039942431;1.00065260927;1.00026286192;0.995790080129;0.999216277029;0.998610869039;0.99952945376;0.998478023543;0.997582089301
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,10,24000.0,96000.0,1.12,0.0056549989132276,0.0,0.0056549989132276,0.002341241838683729,5.481413347203168e-05,0.0008941693017328056,powerlaw_gridsearch,4,True,False,False,0.0,0.00482997510586658,0.0030416365024009684,0.0017883386034656112,0.002100765436397367,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,-0.00325051226609;-0.000799008157707;-0.00130564443236;-0.000525792928086;0.00840211631618;0.00156683172074;0.00277633223791;0.000940871066004;0.0030416365024;0.00482997510587
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,10,24000.0,96000.0,1.12,0.9971972122229483,1.0,-0.002802787777051674,0.0011619178506626295,1.3500530916884647e-05,0.0004437037391508136,powerlaw_gridsearch,4,True,False,False,0.0,0.0023948603738943586,0.0015074528955927313,0.0008874074783016273,0.0010414020784695888,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,1.00160838719;1.0003956047;1.00064636676;1.0002603486;0.995830134912;0.999223761842;0.998624126853;0.999533949183;0.998492547104;0.997605139626
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,10,24000.0,96000.0,1.12,0.0056549989132276,0.0,0.0056549989132276,0.002341241838683729,5.481413347203168e-05,0.0008941693017328056,powerlaw_gridsearch,4,True,False,False,0.0,0.00482997510586658,0.0030416365024009684,0.0017883386034656112,0.002100765436397367,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,-0.00325051226609;-0.000799008157707;-0.00130564443236;-0.000525792928086;0.00840211631618;0.00156683172074;0.00277633223791;0.000940871066004;0.0030416365024;0.00482997510587
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,10,24000.0,96000.0,1.12,0.9972497005158635,1.0,-0.0027502994841365203,0.0011402163957191468,1.3000934290667619e-05,0.0004354144287299633,powerlaw_gridsearch,4,True,False,False,0.0,0.002350048698576135,0.0014792198411162083,0.0008708288574599266,0.0010219071983383898,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,1.0015781653;1.00038818065;1.00063423364;1.00025546351;0.995908015128;0.999238311118;0.998649899101;0.999542687357;0.998520780159;0.997649951301
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,10,24000.0,96000.0,1.12,0.0056549989132276,0.0,0.0056549989132276,0.002341241838683729,5.481413347203168e-05,0.0008941693017328056,powerlaw_gridsearch,4,True,False,False,0.0,0.00482997510586658,0.0030416365024009684,0.0017883386034656112,0.002100765436397367,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,-0.00325051226609;-0.000799008157707;-0.00130564443236;-0.000525792928086;0.00840211631618;0.00156683172074;0.00277633223791;0.000940871066004;0.0030416365024;0.00482997510587
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,10,24000.0,96000.0,1.12,0.9974189119521588,1.0,-0.0025810880478411846,0.001070219396542385,1.145369556735546e-05,0.0004086789599493379,powerlaw_gridsearch,4,True,False,False,0.0,0.0022055618373638675,0.0013882039174651917,0.0008173579198986758,0.000959054924548175,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,1.00148079926;1.00036425668;1.0005951367;1.00023972087;0.996159214948;0.999285207231;0.998732979829;0.999570851007;0.998611796083;0.997794438163
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,10,24000.0,96000.0,1.12,0.0056549989132276,0.0,0.0056549989132276,0.002341241838683729,5.481413347203168e-05,0.0008941693017328056,powerlaw_gridsearch,4,True,False,False,0.0,0.00482997510586658,0.0030416365024009684,0.0017883386034656112,0.002100765436397367,False,targeted_x_nc:10,24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,-0.00325051226609;-0.000799008157707;-0.00130564443236;-0.000525792928086;0.00840211631618;0.00156683172074;0.00277633223791;0.000940871066004;0.0030416365024;0.00482997510587
