N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes
4000,4000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.003,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.522181740932196e-36,-0.013018104359890925,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,4000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.01,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5363238480930386e-36,-0.03855787458238069,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,8000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.553623770475713e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",no-contact case
4000,8000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5556614624394638e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,8000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5596003689773497e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,8000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.01,2,1,1,closest_to_a_nc,1.3474170810069776e-15,0.9563134193302173,1.5728266304226324e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.0,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4626223012133373e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; no-contact case
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.001,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4649055803019478e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.003,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.4693834100777182e-36,-0.013186439968892127,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.01,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.4842757653139442e-36,-0.03905646202033963,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.0,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.5212186610827952e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15; no-contact case
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.001,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.5233346416106293e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.003,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5274898045156704e-36,-0.01285191769155658,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.01,2,1,1,closest_to_a_nc,1.3648403761850172e-15,0.9686793980776875,1.5413369177442553e-36,-0.038065652017743146,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.0,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.515779281141006e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17; no-contact case
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.001,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.517949779876528e-36,-0.013018104359890925,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.003,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.522181740932196e-36,-0.013018104359890925,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,8000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.01,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5363238480930386e-36,-0.03855787458238069,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,16000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.553623770475713e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",no-contact case
4000,16000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5556614624394638e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,16000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5596003689773497e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,16000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.01,2,1,1,closest_to_a_nc,1.3474170810069776e-15,0.9563134193302173,1.5728266304226324e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.0,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4626223012133373e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; no-contact case
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.001,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4649055803019478e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.003,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.4693834100777182e-36,-0.013186439968892127,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,12,0.08519881627954168,0.024419687562102936,1.0706399012734185,0.036609417754874994,1.457885813596236e-15,1.03471730249352,0.01,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.4842757653139442e-36,-0.03905646202033963,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.0,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.5212186610827952e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15; no-contact case
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.001,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.5233346416106293e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.003,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5274898045156704e-36,-0.01285191769155658,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,15,0.08092028803142697,0.022939597130908596,1.016874329623604,0.04234951772239723,1.420808149501225e-15,1.0084018666635255,0.01,2,1,1,closest_to_a_nc,1.3648403761850172e-15,0.9686793980776875,1.5413369177442553e-36,-0.038065652017743146,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=15
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.0,2,1,1,closest_to_a_nc,1.4368158650926508e-15,1.0197631544553216,1.515779281141006e-36,0.0,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17; no-contact case
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.001,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.517949779876528e-36,-0.013018104359890925,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.003,2,1,1,closest_to_a_nc,1.4184737443796176e-15,1.0067450500954307,1.522181740932196e-36,-0.013018104359890925,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,16000,4000,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,17,0.08214578581730911,0.021555449309078205,1.0322743889880757,0.04898962511035326,1.4315264399465963e-15,1.0160090471940908,0.01,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5363238480930386e-36,-0.03855787458238069,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17
4000,32000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.553623770475713e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",no-contact case
4000,32000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5556614624394638e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
4000,32000,4000,16.372460430715797,0.9999707757876269,global,,0,0.078330175670768,nan,0.9843260177667308,0.07050878546263456,1.3978844690831071e-15,0.9921320542102797,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.5596003689773497e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",
