dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,12,8000.0,96000.0,3.59,0.07979883703843467,0.07957747154594767,0.00022136549248699677,0.0002427680304719075,7.072357994305081e-07,0.00014607557192446857,powerlaw_gridsearch,4,True,False,False,2.0,0.00015308577034374438,0.00013906537350519277,0.00029215114384893714,0.00011068611412801133,False,,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0789542967934;0.0798166868862;0.0797004824353;0.080285323043;0.0798512826499;0.0798300880012;0.0797873140173;0.0798348216911;0.0800964370993;0.0793277200583;0.0794384061724;0.0797305573163
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,12,8000.0,96000.0,3.59,1.0013887873500782,1.0,0.001388787350078191,0.0015233530791295656,2.784725524432234e-05,0.0009177798497830292,powerlaw_gridsearch,4,True,False,False,2.0,0.0009614041140268981,0.0008741555855391603,0.0018355596995660584,0.0006963124769717721,False,,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.99607678173;1.00150190645;1.00077260176;1.00443771547;1.00171892855;1.00158597834;1.00131761108;1.00161567345;1.00325545774;0.998429531937;0.999125844414;1.00096140411
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,12,8000.0,96000.0,3.59,1.0013887873500782,1.0,0.001388787350078191,0.0015233530791295658,2.784725524432235e-05,0.0009177798497830292,powerlaw_gridsearch,4,True,False,False,2.0,0.0009614041140268981,0.0008741555855391603,0.0018355596995660584,0.0006963124769717721,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.99607678173;1.00150190645;1.00077260176;1.00443771547;1.00171892855;1.00158597834;1.00131761108;1.00161567345;1.00325545774;0.998429531937;0.999125844414;1.00096140411
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,12,8000.0,96000.0,3.59,-0.0027817608198215855,0.0,-0.0027817608198215855,0.0030507130442280527,0.00011168220093867831,0.0018356397745074027,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230905454,0.0036712795490148054,0.001390922731995814,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730173;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,12,8000.0,96000.0,3.59,1.0001944006016257,1.0,0.00019440060162567718,0.00021310623138279887,5.449711902501481e-07,0.0001283165647744111,powerlaw_gridsearch,4,True,False,False,2.0,0.0001344471882231968,0.00012218594132562544,0.0002566331295488222,9.759560317768035e-05,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.999442124349;1.00021041731;1.00010872596;1.00062089877;1.00024020119;1.00022218734;1.00018428569;1.0002256427;1.00045510052;0.999780218455;0.999877814059;1.00013444719
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,12,8000.0,96000.0,3.59,-0.0027817608198215855,0.0,-0.0027817608198215855,0.0030507130442280527,0.00011168220093867831,0.0018356397745074027,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230905454,0.0036712795490148054,0.001390922731995814,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730173;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,12,8000.0,96000.0,3.59,1.0000716020753384,1.0,7.160207533840612e-05,7.846844914175986e-05,7.388757012855543e-08,4.7171230722675705e-05,powerlaw_gridsearch,4,True,False,False,2.0,4.945268135392311e-05,4.48897800914283e-05,9.434246144535141e-05,3.583107128313223e-05,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.999795066532;1.00007743653;1.00004001323;1.00022888063;1.0000883856;1.00008177197;1.00006780018;1.00008301839;1.00016762624;0.999919279149;0.99995511022;1.00004945268
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,12,8000.0,96000.0,3.59,-0.0027817608198215855,0.0,-0.0027817608198215855,0.0030507130442280527,0.00011168220093867831,0.0018356397745074027,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230905454,0.0036712795490148054,0.001390922731995814,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730173;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,12,8000.0,96000.0,3.59,1.0000223020499892,1.0,2.230204998920904e-05,2.4437574774020232e-05,7.1663407300299605e-09,1.4679841222386969e-05,powerlaw_gridsearch,4,True,True,False,2.0,1.5393723667322945e-05,1.3965958777450993e-05,2.9359682444773938e-05,1.1144035101162686e-05,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.999936251203;1.00002411005;1.00001245799;1.00007131703;1.00002751778;1.00002546046;1.00002110718;1.0000258454;1.00005221164;0.999974890006;0.999986034041;1.00001539372
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,12,8000.0,96000.0,3.59,-0.0027817608198215855,0.0,-0.0027817608198215855,0.0030507130442280527,0.00011168220093867831,0.0018356397745074027,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230905454,0.0036712795490148054,0.001390922731995814,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730173;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
